purchase,ad,clicked,browse,income_level,age
1790,1,1.0,0.0,2726.975212634722,29.6149434142552
1210,1,1.0,1.0,940.9019578505747,34.75573697657857
1540,1,1.0,0.0,1962.0539181757472,20.328495463033374
1410,0,0.0,0.0,2103.1449835970907,28.1201411974467
1360,0,0.0,0.0,1628.3241238713958,28.126553933212172
1600,1,1.0,1.0,2147.2551232784335,32.76942912841177
1440,1,1.0,1.0,2150.7882971336057,26.052880705681854
1360,0,0.0,0.0,1322.4655039389106,38.92721536522548
1420,0,0.0,0.0,1941.3345088369838,33.4315012048715
1380,0,0.0,0.0,1765.4716456580368,28.450757484656783
1400,0,0.0,0.0,1895.243443593237,28.9267416912592
1090,0,0.0,0.0,1088.6795466673066,34.169372080787014
1660,1,1.0,1.0,2156.873544139158,34.36641204894366
1460,1,1.0,1.0,1735.7563154982963,42.59009757884909
1480,1,1.0,1.0,1892.5890186438676,32.11034157718922
1540,0,0.0,0.0,2016.7774931164035,28.209854781935686
1330,1,1.0,1.0,1439.4000466958303,27.42587122175141
1420,1,1.0,1.0,1517.5782666275013,32.950724137940625
1420,1,1.0,1.0,1752.2236024814972,19.65890922577865
1340,1,1.0,0.0,1383.237867010169,23.380624602548558
1620,1,1.0,0.0,2312.8382836332394,34.5795130337401
1410,0,0.0,0.0,1963.6994086675304,33.511715998349494
1600,1,1.0,0.0,2270.179824993874,38.39076316256275
1170,1,0.0,0.0,1036.4517835443155,20.68248137107048
1330,1,1.0,1.0,1629.7160910292052,31.593819247058963
1120,1,1.0,1.0,1597.0107816134341,33.988723212768704
1190,1,0.0,0.0,1183.404828711242,34.50339313915599
1480,1,1.0,1.0,2037.9856552540596,43.40635368480524
1150,1,1.0,1.0,1209.183579547001,34.8971424632096
1240,0,0.0,0.0,1463.0879317682618,26.082931378666526
1190,0,0.0,0.0,1323.0647236958168,36.195555566780136
1290,1,1.0,1.0,1764.1077387963542,33.28708618627279
1510,1,1.0,1.0,2013.5673304735583,18.804751780648402
1490,1,1.0,0.0,2346.4269017064316,39.32792251058549
1410,1,1.0,0.0,1721.9370270455013,28.128884583416735
1260,0,0.0,0.0,1555.2231866368602,32.297237233721546
1380,1,1.0,0.0,1871.0716373864823,33.09807732604061
1410,1,1.0,1.0,1813.2735981067704,39.948337596522535
1370,1,1.0,1.0,1470.4904579895444,22.5636538796669
1670,0,0.0,0.0,2693.9893046279312,29.233264081044585
1520,0,0.0,0.0,2369.3192612324733,35.26999914264757
1330,1,0.0,0.0,1400.377410280117,24.092442632071663
1560,0,0.0,0.0,2430.3311189470355,37.40755632270246
1470,0,0.0,0.0,2395.8181814545705,27.2350657813696
1310,0,0.0,0.0,1539.366775627384,31.59850190928276
1560,1,1.0,1.0,2419.2836573607824,31.218430096278478
1410,1,1.0,1.0,1831.5197735352153,26.651226985491565
1190,0,0.0,0.0,1350.831135512323,23.67546551627468
1310,1,0.0,0.0,1594.1614723584946,37.46079485115347
1160,1,1.0,0.0,1010.0790476339563,31.234553787228595
1330,1,1.0,1.0,1516.1684778007852,33.45671417532521
1290,0,0.0,0.0,1524.276825207854,24.87821390841267
1260,1,1.0,1.0,1516.6764519782757,40.19919965999718
1810,1,1.0,0.0,3275.3778235179425,32.547416360998795
1230,1,1.0,0.0,1457.2698326245252,31.924994788232347
1230,0,0.0,0.0,1489.6641989396749,25.269100619370505
1590,1,1.0,0.0,2476.5370636774287,33.79309434771858
1210,1,1.0,1.0,1767.2125374995542,31.111272351194792
1260,1,1.0,1.0,1644.2429117217032,31.249830609941377
1290,0,0.0,0.0,1223.5935182540804,26.94054266205521
1370,1,1.0,1.0,1949.1922636426661,24.676171086149065
1340,1,0.0,0.0,1245.9801474919345,17.64886356857546
1330,0,0.0,0.0,1918.1058143727007,41.248811578672715
1350,0,0.0,0.0,1810.7179272772883,36.3088401495705
1310,1,1.0,1.0,1381.9094878841265,27.447295638601368
1500,0,0.0,0.0,2062.03800622555,24.34829739387247
1640,0,0.0,0.0,2405.628794129259,19.87458401741059
1570,0,0.0,0.0,2116.208710803155,29.198955844471836
1460,1,1.0,1.0,2248.949984277441,34.941508339538785
1520,1,1.0,1.0,2293.2249781100536,21.767661526475568
1430,0,0.0,0.0,2036.0795287761214,23.23699315373554
1240,1,0.0,0.0,1289.799750499821,29.865552141687267
1600,1,1.0,1.0,2496.708173284951,32.210779711644
1160,0,0.0,0.0,991.2702373543456,38.03001224487949
1260,1,1.0,1.0,1102.8848426068396,28.628226390592996
1470,1,1.0,0.0,1713.828276745663,19.456547731128023
1240,1,0.0,0.0,1655.3051547264893,36.8246362861909
1410,0,0.0,0.0,1825.5739297431005,28.27473603250422
1400,1,1.0,0.0,1635.1565604918057,27.568660081200264
1560,1,1.0,1.0,2550.12167797746,28.983902155526607
1290,0,0.0,0.0,1430.1103630878804,27.314818594389934
1450,0,0.0,0.0,1986.8378589327037,36.21891449469012
1400,0,0.0,0.0,1752.5629327046179,30.315526992318265
1460,1,0.0,0.0,1879.589841148653,31.589256852655428
1230,0,0.0,0.0,1657.5315794438218,27.15823019267816
